ticker,sector,industry,index
KLAC,Information Technology,Semiconductor Materials & Equipment,sp500
KHC,Consumer Staples,Packaged Foods & Meats,sp500
KR,Consumer Staples,Food Retail,sp500
LHX,Industrials,Aerospace & Defense,sp500
LH,Health Care,Health Care Services,sp500
LRCX,Information Technology,Semiconductor Materials & Equipment,sp500
LVS,Consumer Discretionary,Casinos & Gaming,sp500
LDOS,Industrials,Diversified Support Services,sp500
LEN,Consumer Discretionary,Homebuilding,sp500
LII,Industrials,Building Products,sp500
LLY,Health Care,Pharmaceuticals,sp500
LIN,Materials,Industrial Gases,sp500
LYV,Communication Services,Movies & Entertainment,sp500
LMT,Industrials,Aerospace & Defense,sp500
L,Financials,Multi-line Insurance,sp500
LOW,Consumer Discretionary,Home Improvement Retail,sp500
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
LITE,Information Technology,Communications Equipment,sp500
LYB,Materials,Specialty Chemicals,sp500
MTB,Financials,Regional Banks,sp500
MPC,Energy,Oil & Gas Refining & Marketing,sp500
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
MRSH,Financials,Insurance Brokers,sp500
MLM,Materials,Construction Materials,sp500
MRVL,Information Technology,Semiconductors,sp500
MAS,Industrials,Building Products,sp500
MA,Financials,Transaction & Payment Processing Services,sp500
MKC,Consumer Staples,Packaged Foods & Meats,sp500
MCD,Consumer Discretionary,Restaurants,sp500
MCK,Health Care,Health Care Distributors,sp500
MDT,Health Care,Health Care Equipment,sp500
MRK,Health Care,Pharmaceuticals,sp500
META,Communication Services,Interactive Media & Services,sp500
MET,Financials,Life & Health Insurance,sp500
MTD,Health Care,Life Sciences Tools & Services,sp500
MGM,Consumer Discretionary,Casinos & Gaming,sp500
MCHP,Information Technology,Semiconductors,sp500
MU,Information Technology,Semiconductors,sp500
MSFT,Information Technology,Systems Software,sp500
MAA,Real Estate,Multi-Family Residential REITs,sp500
MRNA,Health Care,Biotechnology,sp500
TAP,Consumer Staples,Brewers,sp500
MDLZ,Consumer Staples,Packaged Foods & Meats,sp500
MPWR,Information Technology,Semiconductors,sp500
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
MCO,Financials,Financial Exchanges & Data,sp500
MS,Financials,Investment Banking & Brokerage,sp500
MOS,Materials,Fertilizers & Agricultural Chemicals,sp500
MSI,Information Technology,Communications Equipment,sp500
MSCI,Financials,Financial Exchanges & Data,sp500
NDAQ,Financials,Financial Exchanges & Data,sp500
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
NFLX,Communication Services,Movies & Entertainment,sp500
NEM,Materials,Gold,sp500
NWSA,Communication Services,Publishing,sp500
NWS,Communication Services,Publishing,sp500
NEE,Utilities,Multi-Utilities,sp500
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
NI,Utilities,Multi-Utilities,sp500
NDSN,Industrials,Industrial Machinery & Supplies & Components,sp500
NSC,Industrials,Rail Transportation,sp500
NTRS,Financials,Asset Management & Custody Banks,sp500
NOC,Industrials,Aerospace & Defense,sp500
NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
NRG,Utilities,Independent Power Producers & Energy Traders,sp500
NUE,Materials,Steel,sp500
NVDA,Information Technology,Semiconductors,sp500
NVR,Consumer Discretionary,Homebuilding,sp500
NXPI,Information Technology,Semiconductors,sp500
ORLY,Consumer Discretionary,Automotive Retail,sp500
OXY,Energy,Oil & Gas Exploration & Production,sp500
ODFL,Industrials,Cargo Ground Transportation,sp500
OMC,Communication Services,Advertising,sp500
